"id","budget","runtime","vote_count","vote_average","title","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western","year","month"
19995,237000000,162,11800,7.2,"Avatar",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2009,"Dec"
285,300000000,169,4500,6.9,"Pirates of the Caribbean: At World's End",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,"May"
206647,245000000,148,4466,6.3,"Spectre",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,"Oct"
49026,250000000,165,9106,7.6,"The Dark Knight Rises",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,"Jul"
49529,260000000,132,2124,6.1,"John Carter",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,"Mar"
559,258000000,139,3576,5.9,"Spider-Man 3",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,"May"
38757,260000000,100,3330,7.4,"Tangled",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,"Nov"
99861,280000000,141,6767,7.3,"Avengers: Age of Ultron",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,"Apr"
767,250000000,153,5293,7.4,"Harry Potter and the Half-Blood Prince",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2009,"Jul"
209112,250000000,151,7004,5.7,"Batman v Superman: Dawn of Justice",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,"Mar"
1452,270000000,154,1400,5.4,"Superman Returns",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2006,"Jun"
10764,200000000,106,2965,6.1,"Quantum of Solace",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,"Oct"
58,200000000,151,5246,7,"Pirates of the Caribbean: Dead Man's Chest",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,"Jun"
57201,255000000,149,2311,5.9,"The Lone Ranger",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jul"
49521,225000000,143,6359,6.5,"Man of Steel",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2013,"Jun"
2454,225000000,150,1630,6.3,"The Chronicles of Narnia: Prince Caspian",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2008,"May"
24428,220000000,143,11776,7.4,"The Avengers",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,"Apr"
